SPOTUK1L	SPOTFR1L	SPOTYEN1L	SPOTUK3L	SPOTFR3L	SPOTYEN3L	FOR1UKL	FOR1FRL	FOR1YENL	FOR3UKL	FOR3FRL	FOR3YENL
0.48723	-1.80171	-4.95871	0.5432	-1.76985	-4.92869	0.46267	-1.82337	-5.0061	0.45884	-1.82523	-5.00103
0.48428	-1.81278	-4.98497	0.59167	-1.72944	-4.89592	0.48483	-1.80316	-4.95586	0.47922	-1.80401	-4.95062
0.5432	-1.76985	-4.92869	0.6334	-1.67429	-4.79657	0.48224	-1.81278	-4.98176	0.47939	-1.81441	-4.97594
0.59167	-1.72944	-4.89592	0.57013	-1.73122	-4.84928	0.54128	-1.77155	-4.92606	0.53901	-1.77325	-4.92029
0.6334	-1.67429	-4.79657	0.57205	-1.74236	-4.85338	0.59062	-1.73032	-4.89259	0.58846	-1.73261	-4.88727
0.57013	-1.73122	-4.84928	0.63525	-1.72544	-4.82171	0.63234	-1.67551	-4.79379	0.63022	-1.67903	-4.78837
0.57205	-1.74236	-4.85338	0.63366	-1.73554	-4.82819	0.56866	-1.73175	-4.84699	0.5655	-1.73394	-4.84254
0.63525	-1.72544	-4.82171	0.58695	-1.76259	-4.83496	0.57008	-1.74271	-4.85107	0.56629	-1.74473	-4.84673
0.63366	-1.73554	-4.82819	0.53033	-1.81499	-4.89954	0.63404	-1.72612	-4.81898	0.63137	-1.72899	-4.81441
0.58695	-1.76259	-4.83496	0.54	-1.83976	-4.88806	0.63292	-1.73633	-4.82519	0.63116	-1.73819	-4.81948
0.53033	-1.81499	-4.89954	0.51342	-1.84735	-4.91947	0.58656	-1.76241	-4.83182	0.58468	-1.76216	-4.82569
0.54	-1.83976	-4.88806	0.52295	-1.8552	-4.90156	0.52893	-1.8145	-4.89632	0.52515	-1.81401	-4.89112
0.51342	-1.84735	-4.91947	0.56758	-1.80789	-4.83761	0.53813	-1.83891	-4.88462	0.53415	-1.83728	-4.87842
0.52295	-1.8552	-4.90156	0.62031	-1.77608	-4.79863	0.51037	-1.84679	-4.91674	0.50398	-1.84605	-4.91074
0.56758	-1.80789	-4.83761	0.59222	-1.79999	-4.82831	0.52022	-1.85465	-4.89833	0.51522	-1.85351	-4.89179
0.62031	-1.77608	-4.79863	0.5579	-1.85406	-4.86097	0.56475	-1.80743	-4.83408	0.55944	-1.80657	-4.82719
0.59222	-1.79999	-4.82831	0.54476	-1.83446	-4.85197	0.61745	-1.77475	-4.79427	0.61129	-1.77343	-4.78633
0.5579	-1.85406	-4.86097	0.52206	-1.85598	-4.88806	0.58912	-1.79933	-4.82407	0.58356	-1.79807	-4.81676
0.54476	-1.83446	-4.85197	0.52266	-1.85024	-4.88979	0.5552	-1.85367	-4.85697	0.54974	-1.85278	-4.84903
0.52206	-1.85598	-4.88806	0.46122	-1.89779	-4.95444	0.54239	-1.83366	-4.84737	0.53778	-1.8325	-4.83824
0.52266	-1.85024	-4.88979	0.44083	-1.88915	-4.96671	0.51999	-1.85472	-4.88264	0.51581	-1.85223	-4.87357
0.46122	-1.89779	-4.95444	0.50561	-1.84516	-4.93451	0.52022	-1.84914	-4.88515	0.51545	-1.84775	-4.87685
0.44083	-1.88915	-4.96671	0.44821	-1.89379	-4.97841	0.45792	-1.89696	-4.95034	0.45057	-1.89605	-4.94316
0.50561	-1.84516	-4.93451	0.48397	-1.84579	-4.93646	0.4369	-1.889	-4.96285	0.42938	-1.88919	-4.957
0.44821	-1.89379	-4.97841	0.45222	-1.83321	-4.96428	0.50162	-1.84527	-4.93132	0.4936	-1.84585	-4.92579
0.48397	-1.84579	-4.93646	0.44789	-1.80606	-4.96428	0.44417	-1.89387	-4.97551	0.43645	-1.89439	-4.96973
0.45222	-1.83321	-4.96428	0.47748	-1.75504	-4.967	0.47958	-1.84622	-4.93298	0.47107	-1.84732	-4.92717
0.44789	-1.80606	-4.96428	0.51957	-1.74411	-4.97885	0.44712	-1.83456	-4.96213	0.43625	-1.83737	-4.95899
0.47748	-1.75504	-4.967	0.5038	-1.7591	-5.00834	0.44263	-1.80745	-4.96242	0.43185	-1.81124	-4.9597
0.51957	-1.74411	-4.97885	0.49865	-1.74183	-5.06198	0.47157	-1.75737	-4.96528	0.46159	-1.76207	-4.96299
0.5038	-1.7591	-5.00834	0.48981	-1.73104	-5.06927	0.5145	-1.74585	-4.97754	0.50344	-1.75003	-4.97551
0.49865	-1.74183	-5.06198	0.52177	-1.7367	-5.01736	0.49823	-1.76083	-5.00729	0.48729	-1.76504	-5.00565
